"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-01","0.12","53","65","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-02","0.00","57","63","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-03","0.04","57","65","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-04","0.03","57","65","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-06","0.08","59","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-07","0.00","60","71","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-08",,"62","71","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-09",,"58","69","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-10",,"62","71","49"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-11",,"60","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-12",,"58","69","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-13","0.59","57","68","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-14","0.00","57",,"40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-15","0.08","56","69","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-18","0.00","56","66","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-19",,"58","71","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-20",,"60","72","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-21",,"62","72","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-22",,"58","72","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-23",,"57","68","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-24",,"54","68","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-26","0.02","57","64","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-27","0.00","58","68","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-28",,"57","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-29",,"61","73","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-30",,"60","73","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-01-31",,"58","72","42"
