"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-01","0.08","61","73","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-02","0.08","59","65","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-03","0.39","60","65","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-04","0.28","61","69","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-05","0.08","63","69","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-06","0.08","60","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-07","0.12","60","65","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-08","0.03","60","64","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-09","0.28","59","63","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-10","0.31","59","63","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-11","0.24","61","64","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-12","0.03","65","75","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-13","0.04","67","77","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-14","0.04","64","77","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-15","0.08","64","74","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-17","0.08","66","78","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-18","0.12","64","78","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-19","0.00","64","74","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-20",,"64","68","61"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-21","0.01","64","68","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-22","0.20","63","69","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-23","0.31","62","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-24","0.16","65","74","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-26","0.43","65","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-27","0.16","65","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-28","0.24","61","73","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-29","0.24","61","64","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-30","0.03","62","67","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-01-31","0.00","63","68","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-01","0.08","63","73",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-02","0.02","65","76","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-03","0.20","62","76","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-04","0.94","62","70","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-05","1.02","62","70","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-06","0.01","65","72","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-07","0.02","66","75","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-08","0.98","63","75","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-09","0.08","60","72",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-10",,"63","73","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-11","0.39","64","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-12","0.08","63","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-13","0.03","63","74","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-14","0.00","63","74","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-15","0.04","64","74","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-16","0.00","63","73","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-17",,"63","68","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-18","0.01","62","68","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-19","0.16","61","67","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-20","0.01","61","67","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-21","0.00","62","68","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-22","0.04","63","69","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-23","0.20","61","69","52"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-24","0.00","62","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-25","0.04","63","72","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-26","0.12","62","72","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-27","2.52","63","70","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-02-28","0.31","63","70","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-01","0.08","60","73","50"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-02","0.00","64","68",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-03","0.12","62","67","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-04","0.03","63","69","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-05","0.24","63","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-06","0.02","65","71","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-07","0.00","65","70","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-08","0.08","62","70","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-09","0.00","63","67",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-10","0.02","64","74","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-11","0.02","65","74",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-12","0.08","64","74","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-13","0.03","64","74","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-14","0.20","65",,"56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-15","0.01","65","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-16","0.00","64","73","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-17","0.16","65","73","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-18","0.24","64","73","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-19","0.00","63","74","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-20","0.20","66","74","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-21","0.02","65","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-23","0.08","66","76","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-24","0.02","66","76","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-25","0.00","66","78","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-26","0.04","63","78","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-27","0.08","63","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-28","0.08","62","71","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-29","0.00","64","72","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-30",,"63","72","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-03-31","0.00","65","71","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-01","0.01","62","71","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-02","0.08","64","71","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-03","0.16","63","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-04","0.00","62","69","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-05",,"64","73","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-06",,"68","76","48"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-07","0.08","64","76","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-08","0.08","62","69","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-09","0.04","63","68","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-10","0.00","66","75","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-11",,"66","75","52"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-12","0.00","65","75","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-13","0.08","64","73","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-14","0.08","62","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-15","0.04","62","66","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-16","0.04","65","72","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-17","0.02","66","72","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-18","0.01","63","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-19","0.00","63","71","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-20","0.08","63","72","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-21","0.00","61","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-22",,"62","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-23","0.08","63","73","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-24","0.00","65","72",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-25",,"63","73","45"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-26",,"63","77",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-27",,"65","77","49"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-28",,"65","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-29",,"64","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-30",,"65","75","56"
